butter_lowpass_cutoff,distance_ratio,segment_seconds,systolic_mae,systolic_mse,systolic_rmse,systolic_r2,diastolic_mae,diastolic_mse,diastolic_rmse,diastolic_r2,combined_score,videos_processed
4,0.8,10,15.673688397955456,396.4834541073744,19.91189227841931,-0.1880029494701998,10.870937307785919,160.4877198108221,12.668374789641414,-0.9349721400230548,27.66760079523463,8
4,1.0,6,14.281627985673747,331.91509744768985,18.21853719286183,-0.12001687357844837,10.148258320078597,154.08994660349026,12.4132971689028,-0.9724141147787673,25.52231729410956,8
4,1.0,8,14.281627985673747,331.91509744768985,18.21853719286183,-0.12001687357844837,10.148258320078597,154.08994660349026,12.4132971689028,-0.9724141147787673,25.52231729410956,8
4,1.0,10,14.281627985673747,331.91509744768985,18.21853719286183,-0.12001687357844837,10.148258320078597,154.08994660349026,12.4132971689028,-0.9724141147787673,25.52231729410956,8
5,0.6,6,15.294659368969448,423.6655454399364,20.58313740516582,-0.14921495179576483,10.59871738402259,157.90790676830292,12.56614128395439,-1.170417677786447,27.213009382574253,8
5,0.6,8,15.294659368969448,423.6655454399364,20.58313740516582,-0.14921495179576483,10.59871738402259,157.90790676830292,12.56614128395439,-1.170417677786447,27.213009382574253,8
5,0.6,10,15.294659368969448,423.6655454399364,20.58313740516582,-0.14921495179576483,10.59871738402259,157.90790676830292,12.56614128395439,-1.170417677786447,27.213009382574253,8
5,0.8,6,15.108446352517616,372.8837559951817,19.310198238111944,0.0010689858019007348,10.284502989189237,159.25679846284714,12.619698826154574,-1.1239407923251594,26.51582114823011,8
5,0.8,8,15.108446352517616,372.8837559951817,19.310198238111944,0.0010689858019007348,10.284502989189237,159.25679846284714,12.619698826154574,-1.1239407923251594,26.51582114823011,8
5,0.8,10,15.108446352517616,372.8837559951817,19.310198238111944,0.0010689858019007348,10.284502989189237,159.25679846284714,12.619698826154574,-1.1239407923251594,26.51582114823011,8
5,1.0,6,13.655964649271501,308.9141463373913,17.57595363948686,0.0032894252423913972,10.244943939080766,162.09966830838707,12.73183680025734,-1.066668010155018,24.964287173264893,8
5,1.0,8,13.655964649271501,308.9141463373913,17.57595363948686,0.0032894252423913972,10.244943939080766,162.09966830838707,12.73183680025734,-1.066668010155018,24.964287173264893,8
5,1.0,10,13.655964649271501,308.9141463373913,17.57595363948686,0.0032894252423913972,10.244943939080766,162.09966830838707,12.73183680025734,-1.066668010155018,24.964287173264893,8
6,0.6,6,14.585643268730008,392.50177185368017,19.811657473661313,-0.05563143986796737,10.504475764275771,147.85315745571876,12.159488371461965,-1.0459687285625434,26.19171920143629,8
6,0.6,8,14.585643268730008,392.50177185368017,19.811657473661313,-0.05563143986796737,10.504475764275771,147.85315745571876,12.159488371461965,-1.0459687285625434,26.19171920143629,8
6,0.6,10,14.585643268730008,392.50177185368017,19.811657473661313,-0.05563143986796737,10.504475764275771,147.85315745571876,12.159488371461965,-1.0459687285625434,26.19171920143629,8
6,0.8,6,15.328278361132067,363.16593798060535,19.05691312832709,0.0674799402022086,10.399836908615459,161.45169198626195,12.706364231607008,-1.2703286413251504,26.93096397087047,8
6,0.8,8,15.328278361132067,363.16593798060535,19.05691312832709,0.0674799402022086,10.399836908615459,161.45169198626195,12.706364231607008,-1.2703286413251504,26.93096397087047,8
6,0.8,10,15.328278361132067,363.16593798060535,19.05691312832709,0.0674799402022086,10.399836908615459,161.45169198626195,12.706364231607008,-1.2703286413251504,26.93096397087047,8
6,1.0,6,14.25419718730949,324.97740305228126,18.027129639858956,0.0643504489962482,9.64417336236087,149.03458508044292,12.207972193629985,-1.4991355107700541,25.333155611444166,8
6,1.0,8,14.25419718730949,324.97740305228126,18.027129639858956,0.0643504489962482,9.64417336236087,149.03458508044292,12.207972193629985,-1.4991355107700541,25.333155611444166,8
6,1.0,10,14.25419718730949,324.97740305228126,18.027129639858956,0.0643504489962482,9.64417336236087,149.03458508044292,12.207972193629985,-1.4991355107700541,25.333155611444166,8
